epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.3783,1.32207,1.72606,1.72721,0.90054,0.79155,0.89255,0.54723,1.25754,1.09444,1.72725,0.0701049,0.00332168,0.00332168
2,186.448,1.24848,1.15228,1.63682,0.88981,0.80946,0.9027,0.52336,1.36199,1.8891,1.85483,0.0400513,0.00660145,0.00660145
3,278.748,1.33,1.27476,1.71874,0.75489,0.7523,0.77433,0.40468,1.56994,5.46975,2.26247,0.00994411,0.00982756,0.00982756
4,370.743,1.40036,1.39155,1.77757,0.71531,0.63109,0.69446,0.3207,1.70492,2.41626,2.21217,0.00975854,0.00975854,0.00975854
5,462.656,1.36993,1.33982,1.76929,0.81645,0.76152,0.82333,0.42197,1.50813,1.64796,2.02202,0.00967805,0.00967805,0.00967805
6,554.372,1.34325,1.29784,1.73705,0.88044,0.77292,0.83389,0.45028,1.44788,1.12473,2.0196,0.00959756,0.00959756,0.00959756
7,646.261,1.30937,1.22879,1.69973,0.91455,0.82798,0.91883,0.52496,1.37392,1.25521,1.82213,0.00951707,0.00951707,0.00951707
8,738.063,1.28526,1.20652,1.68216,0.87832,0.77557,0.87655,0.49757,1.37896,0.98282,1.86148,0.00943659,0.00943659,0.00943659
9,830.292,1.26454,1.14267,1.66441,0.90744,0.84384,0.91856,0.5517,1.30764,3.18289,1.74994,0.0093561,0.0093561,0.0093561
10,922.142,1.24691,1.11806,1.64908,0.92939,0.8674,0.93404,0.56341,1.28834,0.84906,1.72895,0.00927561,0.00927561,0.00927561
11,1013.89,1.22078,1.0712,1.61426,0.91932,0.86524,0.92615,0.57372,1.25316,0.775,1.71787,0.00919512,0.00919512,0.00919512
12,1105.82,1.19598,1.03422,1.59809,0.92127,0.86605,0.92981,0.61114,1.17671,0.76593,1.63302,0.00911463,0.00911463,0.00911463
13,1197.59,1.18678,1.01409,1.59487,0.92689,0.87187,0.93743,0.61116,1.19136,0.82245,1.63976,0.00903415,0.00903415,0.00903415
14,1289.34,1.16371,0.99948,1.58004,0.93083,0.8904,0.94128,0.60639,1.18369,0.69847,1.62022,0.00895366,0.00895366,0.00895366
15,1380.96,1.16959,1.00123,1.58326,0.92574,0.89304,0.94424,0.6176,1.17702,0.89459,1.62108,0.00887317,0.00887317,0.00887317
16,1472.68,1.14151,0.94913,1.54963,0.96028,0.90053,0.95762,0.66196,1.08735,0.6918,1.50297,0.00879268,0.00879268,0.00879268
17,1564.45,1.13747,0.96051,1.55478,0.96003,0.87756,0.95178,0.65095,1.10371,0.63349,1.51823,0.0087122,0.0087122,0.0087122
18,1656.17,1.11917,0.94721,1.53499,0.95585,0.8994,0.96111,0.62759,1.14808,0.8634,1.56609,0.00863171,0.00863171,0.00863171
19,1748.06,1.10192,0.91633,1.51584,0.948,0.90115,0.95272,0.65132,1.09289,0.61138,1.50735,0.00855122,0.00855122,0.00855122
20,1839.87,1.09341,0.90477,1.51574,0.95369,0.92622,0.96048,0.66323,1.07297,0.7919,1.51121,0.00847073,0.00847073,0.00847073
21,1931.72,1.08741,0.89357,1.50815,0.94568,0.91117,0.96474,0.66949,1.06448,0.68991,1.49424,0.00839024,0.00839024,0.00839024
22,2023.72,1.06983,0.87915,1.50221,0.93278,0.90616,0.95617,0.65775,1.07345,0.71831,1.48142,0.00830976,0.00830976,0.00830976
23,2115.56,1.06449,0.86117,1.48894,0.94849,0.92342,0.96631,0.68269,1.05569,0.58131,1.47179,0.00822927,0.00822927,0.00822927
24,2207.45,1.06552,0.84622,1.49478,0.9555,0.91261,0.96625,0.66021,1.10511,0.5835,1.50648,0.00814878,0.00814878,0.00814878
25,2299.54,1.04433,0.84819,1.47754,0.95673,0.91854,0.96911,0.6835,1.02594,0.55695,1.47542,0.00806829,0.00806829,0.00806829
26,2391.29,1.05403,0.8388,1.47813,0.95381,0.92765,0.96798,0.68452,1.02453,0.58201,1.44558,0.0079878,0.0079878,0.0079878
27,2483.08,1.05116,0.82888,1.47155,0.94737,0.92837,0.96405,0.67568,1.03475,0.53392,1.46325,0.00790732,0.00790732,0.00790732
